Index,StudyName,GoogleDriveFolderName,ModelFilesLink,HydroClimate,ShortDescription,DV_Path,SV_Path,Start_Date,End_Date,Source,Metadata,,,,,,,,,,,,,,,,,,,,
s0031,s0031_DCRadjHist_2020LU_salmonflows,s0031_DCRadjHist_2020LU_salmonflows,https://drive.google.com/drive/folders/12WxyaU3yZcARXDikARc499brHzrlG3Pv?usp=drive_link,2023 DWR Historical Adjusted,Functional flows scenario designed for salmon outcomes,s0031_DCRadjHist_2020LU_salmonflows\Model_Files\DSS\output\s0031_DCRadjHist_2020LU_salmonflows_DV_20260126v03.dss,s0031_DCRadjHist_2020LU_salmonflows\Model_Files\DSS\input\coeqwal_s9999_SV_v0.1.14.dss,10/31/1921,9/30/2021,,,,,,,,,,,,,,,,,,,,,,
s0032,s0032_DCRadjHist_CVgwLU_eflows,s0032_DCRadjHist_CVgwLU_eflows,https://drive.google.com/drive/folders/154UWd1eBP2BHuqlGGAA0jsqkZxY6IF60?usp=drive_link,2023 DWR Historical Adjusted,Functional flows scenario with reduced CV-wide ag land use as used in gw limit scenarios,s0032_DCRadjHist_CVgwLU_eflows\Model_Files\DSS\output\s0032_DCRadjHist_CVgwLU_eflows_DV_v01_20260112.dss,s0032_DCRadjHist_CVgwLU_eflows\Model_Files\DSS\input\coeqwal_s9999_SV_v0.1.11.dss,10/31/1921,9/30/2021,,,,,,,,,,,,,,,,,,,,,,
s0033,s0033_DCRadjHist_CVgwLU_salmonflows,s0033_DCRadjHist_CVgwLU_salmonflows,https://drive.google.com/drive/folders/1WxtUDlgWoEtLRPWivAjPcLTzctYAyhFj?usp=drive_link,2023 DWR Historical Adjusted,Salmon flows scenario with reduced CV-wide ag land use as sued in gw limit scenarios,s0033_DCRadjHist_CVgwLU_salmonflows\Model_Files\DSS\output\s0033_DCRadjHist_CVgwLU_salmonflows_DV_20260126v03.dss,s0033_DCRadjHist_CVgwLU_salmonflows\Model_Files\DSS\input\coeqwal_s9999_SV_v0.11.15.dss,10/31/1921,9/30/2021,,,,,,,,,,,,,,,,,,,,,,
s0035,s0035_DCRadjBL_2020LU_PriorityHHS,s0035_DCRadjBL_2020LU_PriorityHHS,https://drive.google.com/drive/folders/1oQPEcZd_V40yNIOQpXRldoeF4o-rhj09?usp=drive_link,2023 DWR Historical Adjusted,Drinking water scenario 1,s0035_DCRadjBL_2020LU_PriorityHHS\Model_Files\DSS\output\s0035_DCRadjBL_2020LU_PriorityHHS_DV_v1_20260216.dss,s0035_DCRadjBL_2020LU_PriorityHHS\Model_Files\DSS\input\coeqwal_s9999_SV_v0.1.4.dss,10/31/1921,9/30/2021,,,,,,,,,,,,,,,,,,,,,,
s0036,s0036_DCRadjBL_2020LU_PriorityFuncCWN,s0036_DCRadjBL_2020LU_PriorityFuncCWN,https://drive.google.com/drive/folders/1sg4pO3g27TpzpHKI-vjVvWXI6vu9eJHa?usp=drive_link,2023 DWR Historical Adjusted,Drinking water scenario 2,s0036_DCRadjBL_2020LU_PriorityFuncCWN\Model_Files\DSS\output\s0036_DCRadjBL_2020LU_PriorityFuncCWN_DV_v1_20260219.dss,s0036_DCRadjBL_2020LU_PriorityFuncCWN\Model_Files\DSS\input\coeqwal_s9999_SV_v0.1.4.dss,10/31/1921,9/30/2021,,,,,,,,,,,,,,,,,,,,,,
s0037,s0037_DCRadjBL_2020LU_PriorityFullCWN,s0037_DCRadjBL_2020LU_PriorityFullCWN,https://drive.google.com/drive/folders/1s-lzl32IwXKu-YLCGRcClPfHJo_z1Pa0?usp=drive_link,2023 DWR Historical Adjusted,Drinking water scenario 3,s0037_DCRadjBL_2020LU_PriorityFullCWN\Model_Files\DSS\output\s0037_DCRadjBL_2020LU_PriorityFullCWN_DV_v1_20260216.dss,s0037_DCRadjBL_2020LU_PriorityFullCWN\Model_Files\DSS\input\coeqwal_s9999_SV_v0.1.4.dss,10/31/1921,9/30/2021,,,,,,,,,,,,,,,,,,,,,,
s0039,s0039_USBRAlt3_2020LU_DeltaOut65,s0039_USBRAlt3_2020LU_DeltaOut65,https://drive.google.com/drive/folders/1GF5FV75RfoBkwm0T5SJ75T79UT1PBKqp?usp=drive_link,2023 DWR Historical Adjusted,USBR Alt3 updated with DWR hydrology and 2020 land use; maintains 65% Delta outflow requirement as in original Alt3 (and all attendent caveats and contingencies),s0039_USBRAlt3_2020LU_DeltaOut65\Model_Files\DSS\output\s0039_USBRAlt3_2020LU_DeltaOut65_DV_v0.1_20251120.dss,s0039_USBRAlt3_2020LU_DeltaOut65\Model_Files\DSS\input\coeqwal_s9999_SV_v0.1.4.dss,10/31/1921,9/30/2021,,,,,,,,,,,,,,,,,,,,,,
s0040,s0040_USBRAlt3_2020LU_DeltaOut35,s0040_USBRAlt3_2020LU_DeltaOut35,https://drive.google.com/drive/folders/1_6SmRHkdpguDFK0VMJ4AJULO-R4M50Y4?usp=drive_link,2023 DWR Historical Adjusted,USBR Alt3 updated with DWR hydrology and 2020 land use; reduces Delta outflow requirement to 35% from the 65% of unimpaired as in original Alt3 (and all attendent caveats and contingencies),s0040_USBRAlt3_2020LU_DeltaOut35\Model_Files\DSS\output\s0040_USBRAlt3_2020LU_DeltaOut35_DV_v0.2_20251211.dss,s0040_USBRAlt3_2020LU_DeltaOut35\Model_Files\DSS\input\coeqwal_s9999_SV_v0.1.4.dss,10/31/1921,9/30/2021,,,,,,,,,,,,,,,,,,,,,,
s0041,s0041_USBRAlt3_2020LU_DeltaOut45,s0041_USBRAlt3_2020LU_DeltaOut45,https://drive.google.com/drive/folders/1zFmOaUC8BV4oWQPrtTk48uNDIoQb5QBm?usp=drive_link,2023 DWR Historical Adjusted,USBR Alt3 updated with DWR hydrology and 2020 land use; reduces Delta outflow requirement to 45% from the 65% of unimpaired as in original Alt3 (and all attendent caveats and contingencies),s0041_USBRAlt3_2020LU_DeltaOut45\Model_Files\DSS\output\s0041_USBRAlt3_2020LU_DeltaOut45_DV_v0.2_20251211.dss,s0041_USBRAlt3_2020LU_DeltaOut45\Model_Files\DSS\input\coeqwal_s9999_SV_v0.1.4.dss,10/31/1921,9/30/2021,,,,,,,,,,,,,,,,,,,,,,
s0042,s0042_USBRAlt3_2020LU_DeltaOut55_v0.3_20251211,s0042_USBRAlt3_2020LU_DeltaOut55_v0.3_20251211,https://drive.google.com/drive/folders/18y7DtN4bthyk0oOBSLOJVLM6cktrGo5E?usp=drive_link,2023 DWR Historical Adjusted,USBR Alt3 updated with DWR hydrology and 2020 land use; reduces Delta outflow requirement to 55% from the 65% of unimpaired as in original Alt3 (and all attendent caveats and contingencies),s0042_USBRAlt3_2020LU_DeltaOut55_v0.3_20251211\Model_Files\DSS\output\s0042_USBRAlt3_2020LU_DeltaOut55_DV_v0.3_20251211.dss,s0042_USBRAlt3_2020LU_DeltaOut55_v0.3_20251211\Model_Files\DSS\input\coeqwal_s9999_SV_v0.1.4.dss,10/31/1921,9/30/2021,,,,,,,,,,,,,,,,,,,,,,
