Number of Time Steps:,1200,,,,,,,,,,,,,,,,,,,,,,,,
Start Date:,31-Oct-21,,,,,,,,,,,,,,,,,,,,,,,,
Start Time:,2400,,,,,,,,,,,,,,,,,,,,,,,,
End Date:,30-Sep-21,,,,,,,,,,,,,,,,,,,,,,,,
End Time:,2400,,,,,,,,,,,,,,,,,,,,,,,,
,Pathnames:,Part A:,Part B:,Part C:,UNITS,Part F:,,Col:,,,,,,,,,,,,,,,,,
,/CALSIM/C_SAC120/CHANNEL//1MON/L2020A/,CALSIM,C_SAC120,CHANNEL,TAF,L2020A,21,U,PER-AVER,Sac R near Wilkins Slough (flow),,,,,,,,,,,,,,,
,/CALSIM/S_OROVL/STORAGE//1MON/L2020A/,CALSIM,S_OROVL,STORAGE,,L2020A,22,V,INST-VAL,Oroville Storage,,,,,,,,,,,,,,,
,/CALSIM/S_OROVLLEVEL1DV/STORAGE-LEVEL//1MON/L2020A/,CALSIM,S_OROVLLEVEL1DV,STORAGE-LEVEL,,L2020A,143,EM,PER-AVER,Oroville Level 1,,,,,,,,,,,,,,,
,/CALSIM/S_OROVLLEVEL4DV/STORAGE-LEVEL//1MON/L2020A/,CALSIM,S_OROVLLEVEL4DV,STORAGE-LEVEL,,L2020A,143,EM,PER-AVER,Oroville Level 4,,,,,,,,,,,,,,,
,/CALSIM/S_OROVLLEVEL5DV/STORAGE-LEVEL//1MON/L2020A/,CALSIM,S_OROVLLEVEL5DV,STORAGE-LEVEL,,L2020A,143,EM,PER-AVER,Oroville Level 5,,,,,,,,,,,,,,,
,/CALSIM/C_OROVL/CHANNEL//1MON/L2020A/,CALSIM,C_OROVL,CHANNEL,TAF,L2020A,23,W,PER-AVER,Oroville Release to Feather River,,,,,,,,,,,,,,,
,/CALSIM/C_FTR068/CHANNEL//1MON/L2020A/,CALSIM,C_FTR068,CHANNEL,TAF,L2020A,24,X,PER-AVER,Feather River Flow below Thermalito Diversion Dam (LFC),,,,,,,,,,,,,,,
,/CALSIM/C_FTR059_MIF/FLOW-MIN-INSTREAM//1MON/L2020A/,CALSIM,C_FTR059_MIF,FLOW-MIN-INSTREAM,TAF,L2020A,25,Y,PER-AVER,Feather River Minimum Flow below Thermalito,,,,,,,,,,,,,,,
,/CALSIM/C_FTR059/CHANNEL//1MON/L2020A/,CALSIM,C_FTR059,CHANNEL,TAF,L2020A,26,Z,PER-AVER,Feather River Flow below Thermalito,,,,,,,,,,,,,,,
,/CALSIM/C_YUB002/CHANNEL//1MON/L2020A/,CALSIM,C_YUB002,CHANNEL,TAF,L2020A,27,AA,PER-AVER,Yuba River Flow below Daguerre Pt Dam,,,,,,,,,,,,,,,
